Time (s),Channel 1 (V)
-300,0.051883736059345709
-299.92500000000001,0.11708970662276008
-299.84999999999997,0.11708970662276008
-299.77499999999998,0.11708970662276008
-299.69999999999999,0.11708970662276008
-299.625,0.11708970662276008
-299.55000000000001,0.11708970662276008
-299.47499999999997,0.11708970662276008
-299.39999999999998,0.11708970662276008
-299.32499999999999,0.11708970662276008
-299.25,0.11708970662276008
-299.17500000000001,0.11708970662276008
-299.09999999999997,0.11708970662276008
-299.02499999999998,0.1605603536650364
-298.94999999999999,0.18229567718617451
-298.875,0.24750164774958894
-298.80000000000001,0.59526682408779918
-298.72499999999997,0.33444294183414147
-298.64999999999998,0.11708970662276008
-298.57499999999999,0.22576632422845078
-298.5,0.1605603536650364
-298.42500000000001,0.11708970662276008
-298.34999999999997,0.13882503014389824
-298.27499999999998,0.18229567718617451
-298.19999999999999,0.22576632422845078
-298.125,0.31270761831300337
-298.05000000000001,1.0299732945105617
-297.97499999999997,1.1169145885951144
-297.89999999999998,1.5516210590178772
-297.82499999999999,0.98650264746828564
-297.75,0.57353150056666102
-297.67500000000001,0.2909722947918652
-297.59999999999997,0.44311955943983217
-297.52499999999998,1.1169145885951144
-297.44999999999999,0.76914941225690425
-297.375,0.3996489123975559
-297.30000000000001,0.2909722947918652
-297.22499999999997,0.2692369712707271
-297.14999999999998,0.6387374711300754
-297.07499999999999,1.2690618532430817
-297,1.3125325002853576
-296.92500000000001,0.74741408873576609
-296.84999999999997,1.334267823806496
-296.77499999999998,0.96476732394714748
-296.69999999999999,0.96476732394714748
-296.625,0.81262005929918057
-296.55000000000001,0.59526682408779918
-296.47499999999997,0.55179617704552286
-296.39999999999998,0.87782602986259495
-296.32499999999999,0.2909722947918652
-296.25,0.22576632422845078
-296.17500000000001,0.22576632422845078
-296.09999999999997,0.2692369712707271
-296.02499999999998,0.24750164774958894
-295.94999999999999,0.24750164774958894
-295.875,0.44311955943983217
-295.80000000000001,0.35617826535527963
-295.72499999999997,0.13882503014389824
-295.64999999999998,0.13882503014389824
-295.57499999999999,0.11708970662276008
-295.5,0.18229567718617451
-295.42500000000001,0.1605603536650364
-295.34999999999997,0.1605603536650364
-295.27499999999998,0.11708970662276008
-295.19999999999999,0.13882503014389824
-295.125,0.095354383101621976
-295.05000000000001,0.13882503014389824
-294.97499999999997,0.1605603536650364
-294.89999999999998,0.13882503014389824
-294.82499999999999,0.1605603536650364
-294.75,0.18229567718617451
